Longitude,Latitude,PGA (g) - %2,PGA (g) - %10,PGA (g) - %50,PGA (g) - %68,SS (g) - %2 ,SS (g) - %10,SS (g) - %50,SS (g) - %68,S1 (g) - %2 ,S1 (g) - %10,S1 (g) - %50,S1 (g) - %68
25.450,39.750,0.534,0.281,0.117,0.086,1.308,0.668,0.272,0.204,0.364,0.199,0.085,0.063
25.450,39.850,0.532,0.293,0.125,0.093,1.310,0.699,0.293,0.216,0.374,0.209,0.089,0.065
25.450,39.950,0.601,0.334,0.145,0.106,1.491,0.805,0.331,0.242,0.426,0.234,0.097,0.071
25.450,40.050,0.753,0.421,0.178,0.129,1.857,1.011,0.415,0.300,0.525,0.282,0.110,0.078
25.450,40.150,0.962,0.565,0.232,0.163,2.416,1.363,0.544,0.379,0.665,0.362,0.131,0.087
25.450,40.250,1.207,0.708,0.302,0.191,3.048,1.724,0.692,0.437,0.844,0.457,0.160,0.096
25.450,40.350,1.167,0.695,0.276,0.183,2.990,1.705,0.634,0.423,0.827,0.450,0.149,0.092
25.450,40.450,0.855,0.503,0.222,0.158,2.182,1.236,0.520,0.369,0.603,0.328,0.124,0.083
25.450,40.550,0.865,0.471,0.190,0.132,2.178,1.149,0.442,0.305,0.567,0.293,0.109,0.075
25.450,40.650,0.819,0.424,0.152,0.099,2.055,1.030,0.354,0.228,0.531,0.264,0.096,0.064
25.450,40.750,0.758,0.382,0.127,0.080,1.887,0.922,0.298,0.184,0.487,0.239,0.086,0.058
25.450,40.850,0.687,0.339,0.109,0.069,1.711,0.820,0.254,0.157,0.443,0.217,0.079,0.054
25.450,40.950,0.610,0.296,0.095,0.061,1.520,0.710,0.220,0.139,0.396,0.195,0.073,0.050
25.450,41.050,0.544,0.257,0.083,0.055,1.340,0.614,0.194,0.125,0.356,0.177,0.067,0.047
25.450,41.150,0.510,0.227,0.076,0.052,1.245,0.541,0.172,0.116,0.339,0.164,0.063,0.044
25.450,41.250,0.435,0.201,0.070,0.049,1.066,0.474,0.159,0.111,0.298,0.151,0.060,0.043
25.450,41.350,0.418,0.192,0.067,0.048,1.017,0.452,0.154,0.109,0.280,0.144,0.057,0.041
25.450,41.450,0.422,0.192,0.066,0.047,1.028,0.452,0.152,0.107,0.274,0.139,0.056,0.040
25.450,41.550,0.426,0.194,0.066,0.046,1.040,0.456,0.151,0.106,0.271,0.136,0.055,0.040
25.450,41.650,0.436,0.199,0.066,0.046,1.065,0.468,0.152,0.106,0.273,0.135,0.053,0.039
25.450,41.750,0.448,0.206,0.067,0.046,1.101,0.484,0.154,0.107,0.278,0.134,0.052,0.038
25.450,41.850,0.468,0.213,0.068,0.046,1.149,0.503,0.156,0.107,0.288,0.135,0.050,0.036
25.450,41.950,0.473,0.216,0.068,0.046,1.162,0.511,0.157,0.107,0.288,0.133,0.049,0.035
25.450,42.050,0.467,0.214,0.068,0.046,1.147,0.507,0.156,0.106,0.282,0.130,0.047,0.033
